icao,lon
HSSK,32.5532
HSSM,31.6519
HSWW,27.975
HTAR,36.6333
HTDA,39.2073
HTDO,35.756
HTGW,33.274
HTIR,35.7521
HTKJ,37.0735
HTLM,35.8183
HTMT,40.182
HTMW,32.936
HTPE,39.8114
HTTG,39.0712
HTZA,39.2249
HUAR,30.9117
HUEN,32.4435
HUGU,32.2718
HUSO,33.6228
KABE,-75.4428
KABI,-99.6819
KABQ,-106.6089
KABR,-98.4218
KABY,-84.1962
KACK,-70.0602
KACT,-97.2305
KACV,-124.109
KACY,-74.5775
KADH,-96.672
KADW,-76.867
KAEX,-92.5467
KAFW,-97.3195
KAGC,-79.9302
KAGS,-81.9645
KAHN,-83.3256
KAIA,-102.804
KAKR,-81.4678
KALB,-73.8017
KALI,-98.0269
KALM,-105.9931
KALN,-90.046
KALO,-92.4003
KALS,-105.867
KALW,-118.288
KAMA,-101.7064
KANB,-85.8581
KAND,-82.7094
KAOO,-78.32
KAPA,-104.849
KAPF,-81.7753
KAPG,-76.1688
KAPN,-83.5603
KARA,-91.8839
KART,-76.0217
KASE,-106.869
KAST,-123.879
KATL,-84.4281
KATW,-88.519
KATY,-97.1547
KAUG,-69.7973
KAUS,-97.662
KAUW,-89.6266
KAVL,-82.5419
KAVP,-75.7242
KAWO,-122.1584
KAXN,-95.3947
KAZO,-85.5496
KBAB,-121.437
KBAD,-93.6627
KBAF,-72.7156
KBAK,-85.8956
KBAZ,-98.0422
KBBD,-99.3247
KBBG,-93.2005
KBCE,-112.145
KBCT,-80.1077
KBDE,-94.6122
KBDL,-72.688
KBDR,-73.1262
KBED,-71.289
KBFD,-78.6401
KBFF,-103.596
KBFI,-122.2999
KBFL,-119.057
KBFM,-88.0681
KBGM,-75.9798
KBGR,-68.8267
KBHB,-68.3615
KBHM,-86.7507
KBIF,-106.38
KBIH,-118.364
KBIL,-108.5412
KBIS,-100.7469
KBIX,-88.9244
KBJC,-105.117
KBJI,-94.9337
KBKE,-117.809
KBKF,-104.752
KBKL,-81.6833
KBKW,-81.1242
KBLF,-81.2077
KBLH,-114.717
KBLI,-122.538
KBLV,-89.8352
KBMG,-86.6167
KBMI,-88.9159
KBNA,-86.6782
KBNO,-118.9552
KBOI,-116.223
KBOS,-71.0079
KBPI,-110.111
KBPK,-92.4705
KBPT,-94.0207
KBQK,-81.4665
KBRD,-94.1297
KBRL,-91.1255
KBRO,-97.4252
KBTL,-85.2515
KBTM,-112.497
KBTR,-91.1496
KBTV,-73.1533
KBUF,-78.7322
KBUR,-118.3581
KBVI,-80.3914
KBVU,-114.8588
KBVY,-70.9165
KBWG,-86.4197
KBWI,-76.6683
KBXM,-69.9386
KBYH,-89.944
KBYI,-113.772
KBYS,-116.63
KBZN,-111.1537
KCAE,-81.123
KCAK,-81.4422
KCAR,-68.0179
KCBM,-88.4438
KCCR,-122.057
KCCY,-92.6108
KCDC,-113.099
KCDR,-103.095
KCDS,-100.288
KCEC,-124.2364
KCEW,-86.5221
KCEZ,-108.628
KCGF,-81.4864
KCGI,-89.5708
KCHA,-85.2038
KCHO,-78.4529
KCHS,-80.0382
KCID,-91.7108
KCIU,-84.4621
KCKB,-80.2281
KCLE,-81.8498
KCLL,-96.3638
KCLM,-123.5
KCLT,-80.9431
KCMH,-82.8919
KCMI,-88.2762
KCMX,-88.4891
KCNM,-104.263
KCNU,-95.4867
KCNY,-109.755
